City,Country,Latitude,Long,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
Westport,NZ,-41.75,171.6,60.94,72,92,6.62
Dunedin,NZ,-45.87,170.5,48.88,100,92,8.52
Pacifica,US,37.61,-122.49,66.92,80,20,3.36
Norton Shores,US,43.17,-86.26,39.92,61,90,9.17
Rio Gallegos,AR,-51.62,-69.22,64.4,58,75,14.99
Topchikha,RU,52.82,83.12,18.01,86,76,20.27
Mbekenyera,TZ,-10.0,38.98,71.2,86,0,3.94
Shenjiamen,CN,29.96,122.3,63.91,92,92,4.83
Harper,LR,4.38,-7.71,82.23,100,24,8.63
Kulhudhuffushi,MV,6.62,73.07,83.44,100,68,7.4
Aklavik,CA,68.22,-135.01,-7.61,76,75,5.82
Havoysund,NO,71.0,24.66,30.2,92,75,5.82
Columbus,US,32.46,-84.99,63.14,62,1,6.93
Vuktyl,RU,63.86,57.31,-1.66,68,80,4.5
Conakry,GN,9.52,-13.7,82.4,83,40,9.86
Bandiagara,ML,14.35,-3.61,78.8,57,20,4.7
Nieves,MX,24.0,-103.02,68.68,27,48,6.4
Kholmogory,RU,64.23,41.65,19.4,92,40,2.24
Otjimbingwe,NA,-22.35,16.13,72.1,58,64,2.15
Corner Brook,CA,48.95,-57.95,28.4,63,20,11.41
Byron Bay,AU,-28.65,153.62,73.4,46,0,12.75
Luanda,AO,-8.83,13.24,78.8,78,0,6.93
Ponta Delgada,PT,37.73,-25.67,62.6,67,20,12.75
Mahibadhoo,MV,3.78,72.97,81.87,100,24,6.62
Yeppoon,AU,-23.13,150.74,82.4,37,0,3.36
Sur,OM,22.57,59.53,77.14,100,24,5.39
Veraval,IN,20.9,70.37,72.01,79,12,5.5
Fukue,JP,35.03,136.69,50.0,81,20,14.99
Imbituba,BR,-28.24,-48.67,71.6,73,75,9.17
Yokaichiba,JP,35.7,140.55,41.0,86,75,8.05
Pangai,TO,-19.8,-174.35,82.4,83,20,6.93
Morena,IN,26.49,77.98,53.6,87,8,2.71
Longyearbyen,SJ,78.22,15.64,12.2,72,20,5.82
La Asuncion,VE,11.03,-63.86,82.4,78,40,16.46
Sibut,CF,5.73,19.09,72.78,66,12,5.39
Bowen,AU,-20.01,148.25,84.2,74,24,11.41
Bambous Virieux,MU,-20.34,57.76,77.0,94,40,4.7
Shubarkuduk,KZ,49.15,56.49,15.45,74,8,11.99
Bani Walid,LY,31.76,14.0,52.21,87,0,5.06
Sungairaya,ID,0.7,108.9,74.89,96,20,2.37
Blackwater,AU,-23.58,148.88,77.41,20,0,9.64
Saint Andrews,CA,45.08,-67.06,38.8,100,92,8.52
Badin,PK,24.66,68.84,63.19,63,32,2.71
Labuhan,ID,-2.54,115.51,72.28,97,44,0.58
Iranshahr,IR,27.21,60.69,64.4,39,0,9.17
Abakaliki,NG,6.32,8.11,79.12,45,0,4.05
Kouango,CF,4.99,19.98,72.64,80,24,3.38
Ugoofaaru,MV,5.67,73.0,83.17,100,0,6.62
Malanville,BJ,11.87,3.39,75.12,31,0,8.86
Port Blair,IN,11.67,92.75,82.36,100,24,9.86
Talcahuano,CL,-36.72,-73.12,68.0,49,0,24.16
Hongjiang,CN,27.21,109.83,39.52,86,0,1.59
Henties Bay,NA,-22.12,14.28,62.56,91,0,5.28
Benguela,AO,-12.58,13.4,75.07,100,12,8.75
Ilovlya,RU,49.31,43.98,21.2,100,90,4.47
Chapais,CA,49.78,-74.86,30.2,92,90,10.29
Dzhebariki-Khaya,RU,62.22,135.8,-30.77,51,36,2.71
Kirakira,SB,-10.46,161.92,82.77,100,68,7.74
Pasvalys,LT,56.06,24.4,24.8,100,20,4.7
Semey,KZ,50.41,80.25,14.5,78,64,7.63
Monterey,US,36.6,-121.89,66.92,69,1,6.93
Novo Aripuana,BR,-5.12,-60.38,83.44,80,24,2.26
Piacabucu,BR,-10.41,-36.43,80.2,68,32,11.65
Vardo,NO,70.37,31.11,30.2,86,75,28.86
Lingyuan,CN,41.24,119.4,30.79,71,0,11.99
